ratio,rep,ec6,ec10
0.001,1002,1833.833333,1900.4
0.01,1020,1838.333333,1904
0.1,1200,1883.333333,1940
1,2000,2083.333333,2100
9,2800,2283.333333,2260
99,2980,2328.333333,2296
999,2998,2332.833333,2299.6
